Species,SVL,Head Volume,Head Length,Head Height
Karusasaurus polyzonus,2.04,1.88,-0.6,0.32
Karusasaurus polyzonus,2.04,1.8,-0.6,0.3
Karusasaurus polyzonus,2.03,1.8,-0.66,0.33
Karusasaurus polyzonus,2.02,1.74,-0.6,0.32
Karusasaurus polyzonus,2.01,1.85,-0.59,0.32
Karusasaurus polyzonus,2.01,1.81,-0.6,0.35
Karusasaurus polyzonus,2,1.9,-0.6,0.35
Karusasaurus polyzonus,2,1.85,-0.6,0.33
Karusasaurus polyzonus,2,1.82,-0.64,0.35
Karusasaurus polyzonus,2,1.81,-0.57,0.32
Karusasaurus polyzonus,2,1.73,-0.66,0.33
Karusasaurus polyzonus,2,1.75,-0.62,0.32
Karusasaurus polyzonus,2,1.87,-0.54,0.33
Karusasaurus polyzonus,1.99,1.71,-0.8,0.35
Karusasaurus polyzonus,1.99,1.7,-0.66,0.33
Karusasaurus polyzonus,1.99,1.83,-0.57,0.33
Karusasaurus polyzonus,1.98,1.82,-0.62,0.33
Karusasaurus polyzonus,1.98,1.83,-0.57,0.32
Karusasaurus polyzonus,1.98,1.64,-0.62,0.28
Karusasaurus polyzonus,1.98,1.87,-0.59,0.37
Karusasaurus polyzonus,1.98,1.76,-0.62,0.36
Karusasaurus polyzonus,1.97,1.81,-0.57,0.35
Karusasaurus polyzonus,1.97,1.79,-0.59,0.35
Karusasaurus polyzonus,1.96,1.85,-0.6,0.35
Karusasaurus polyzonus,1.96,1.69,-0.64,0.33
Karusasaurus polyzonus,1.96,1.75,-0.6,0.33
Karusasaurus polyzonus,1.92,1.69,-0.6,0.33
Karusasaurus polyzonus,1.92,1.61,-0.62,0.33
Karusasaurus polyzonus,1.85,1.7,-0.54,0.36
Karusasaurus polyzonus,1.81,1.51,-0.66,0.37
Karusasaurus polyzonus,1.8,1.42,-0.57,0.33
Karusasaurus polyzonus,1.78,1.32,-0.64,0.32
Karusasaurus polyzonus,1.76,1.22,-0.55,0.32
Karusasaurus polyzonus,1.74,1.17,-0.62,0.36
Karusasaurus polyzonus,1.73,1.23,-0.59,0.3
Karusasaurus polyzonus,1.73,1.43,-0.52,0.3
Karusasaurus polyzonus,1.73,1.4,-0.48,0.3
Karusasaurus polyzonus,1.72,0.97,-0.77,0.3
Karusasaurus polyzonus,1.72,1.24,-0.49,0.33
Karusasaurus polyzonus,1.72,1.1,-0.68,0.32
Karusasaurus polyzonus,1.72,1.29,-0.57,0.35
Karusasaurus polyzonus,1.69,1.11,-0.54,0.32
